date,last_available_confirmed
2021-07-13,876847
2021-07-12,875360
2021-07-11,874832
2021-07-10,873819
2021-07-09,873108
2021-07-08,870614
2021-07-07,868384
2021-07-06,866200
2021-07-05,863581
2021-07-04,863091
2021-07-03,862385
2021-07-02,859731
2021-07-01,857318
2021-06-30,855163
2021-06-29,851161
2021-06-28,851161
2021-06-27,850593
2021-06-26,849498
2021-06-25,846987
2021-06-24,843949
2021-06-23,841141
2021-06-22,837969
2021-06-21,834249
2021-06-20,833323
2021-06-19,831637
2021-06-18,828737
2021-06-17,821875
2021-06-16,821875
2021-06-15,818295
2021-06-14,813711
2021-06-13,813711
2021-06-12,812513
2021-06-11,809206
2021-06-10,805722
2021-06-09,802232
2021-06-08,801298
2021-06-07,799967
2021-06-06,799219
2021-06-05,797603
2021-06-04,794346
2021-06-03,793263
2021-06-02,789764
2021-06-01,783191
2021-05-31,783191
2021-05-30,782195
2021-05-29,780675
2021-05-28,778550
2021-05-27,778119
2021-05-26,775801
2021-05-25,772503
2021-05-24,769766
2021-05-23,768868
2021-05-22,767954
2021-05-21,764790
2021-05-20,761886
2021-05-19,758819
2021-05-18,755989
2021-05-17,753368
2021-05-16,751114
2021-05-15,751114
2021-05-14,748382
2021-05-13,745134
2021-05-12,742629
2021-05-11,739821
2021-05-10,736880
2021-05-09,736342
2021-05-08,735057
2021-05-07,733059
2021-05-06,730546
2021-05-05,728146
2021-05-04,725547
2021-05-03,722823
2021-05-02,722173
2021-05-01,718661
2021-04-30,718661
2021-04-29,715625
2021-04-28,712523
2021-04-27,708635
2021-04-26,704998
2021-04-25,703977
2021-04-24,699461
2021-04-23,699461
2021-04-22,695427
2021-04-21,693255
2021-04-20,689351
2021-04-19,685365
2021-04-18,684239
2021-04-17,683309
2021-04-16,679586
2021-04-15,675330
2021-04-14,671169
2021-04-13,667097
2021-04-12,663212
2021-04-11,661881
2021-04-10,660192
2021-04-09,656513
2021-04-08,652116
2021-04-07,647445
2021-04-06,642322
2021-04-05,635582
2021-04-04,634456
2021-04-03,633097
2021-04-02,631786
2021-04-01,628043
2021-03-31,619397
2021-03-30,611049
2021-03-29,606301
2021-03-28,605059
2021-03-27,603049
2021-03-26,599340
2021-03-25,595099
2021-03-24,590885
2021-03-23,586394
2021-03-22,582245
2021-03-21,581013
2021-03-20,579380
2021-03-19,575331
2021-03-18,571358
2021-03-17,567617
2021-03-16,563646
2021-03-15,559817
2021-03-14,558514
2021-03-13,556869
2021-03-12,553751
2021-03-11,550654
2021-03-10,547384
2021-03-09,544063
2021-03-08,540750
2021-03-07,539683
2021-03-06,538333
2021-03-05,535617
2021-03-04,532755
2021-03-03,530183
2021-03-02,527515
2021-03-01,525595
2021-02-28,524858
2021-02-27,524001
2021-02-26,522087
2021-02-25,519954
2021-02-24,517362
2021-02-23,514913
2021-02-22,512631
2021-02-21,511924
2021-02-20,511095
2021-02-19,508944
