date,new_confirmed,fds
2020-02-25,0,0
2020-02-26,0,0
2020-02-27,0,0
2020-02-28,0,0
2020-02-29,1,1
2020-03-01,0,1
2020-03-02,0,0
2020-03-03,1,0
2020-03-04,5,0
2020-03-05,3,0
2020-03-06,8,0
2020-03-07,7,1
2020-03-08,21,1
2020-03-09,57,0
2020-03-10,69,0
2020-03-11,155,0
2020-03-12,355,0
2020-03-13,619,0
2020-03-14,642,1
2020-03-15,1034,1
2020-03-16,2121,0
2020-03-17,2452,0
2020-03-18,2971,0
2020-03-19,3706,0
2020-03-20,4007,0
2020-03-21,2639,1
2020-03-22,2580,1
2020-03-23,3570,0
2020-03-24,4496,0
2020-03-25,4874,0
2020-03-26,5044,0
2020-03-27,5119,0
2020-03-28,3479,1
2020-03-29,3560,1
2020-03-30,6129,0
2020-03-31,5458,0
2020-04-01,5449,0
2020-04-02,5746,0
2020-04-03,5670,0
2020-04-04,3866,1
2020-04-05,3780,1
2020-04-06,6353,0
2020-04-07,6044,0
2020-04-08,5575,0
2020-04-09,5070,0
2020-04-10,4510,0
2020-04-11,3732,1
2020-04-12,2887,1
2020-04-13,3311,0
2020-04-14,4144,0
2020-04-15,3876,0
2020-04-16,3530,0
2020-04-17,3586,0
2020-04-18,2172,1
2020-04-19,2343,1
2020-04-20,3792,0
2020-04-21,3062,0
2020-04-22,3446,0
2020-04-23,2841,0
2020-04-24,2535,0
2020-04-25,1595,1
2020-04-26,1003,1
2020-04-27,2290,0
2020-04-28,2726,0
2020-04-29,2340,0
2020-04-30,2022,0
2020-05-01,1887,0
2020-05-02,1058,1
2020-05-03,787,1
2020-05-04,1550,0
2020-05-05,1512,0
2020-05-06,1397,0
2020-05-07,1238,0
2020-05-08,1079,0
2020-05-09,657,1
2020-05-10,457,1
2020-05-11,1231,0
2020-05-12,1285,0
2020-05-13,1333,0
2020-05-14,1110,0
2020-05-15,873,0
2020-05-16,485,1
2020-05-17,360,1
2020-05-18,895,0
2020-05-19,1003,0
2020-05-20,1077,0
2020-05-21,1069,0
2020-05-22,1036,0
2020-05-23,455,1
2020-05-24,467,1
2020-05-25,464,0
2020-05-26,1050,0
2020-05-27,741,0
2020-05-28,646,0
2020-05-29,639,0
2020-05-30,346,1
2020-05-31,230,1
2020-06-01,686,0
2020-06-02,570,0
2020-06-03,515,0
2020-06-04,517,0
2020-06-05,402,0
2020-06-06,247,1
2020-06-07,197,1
2020-06-08,447,0
2020-06-09,419,0
2020-06-10,363,0
2020-06-11,363,0
2020-06-12,409,0
2020-06-13,196,1
2020-06-14,180,1
2020-06-15,380,0
2020-06-16,419,0
2020-06-17,356,0
2020-06-18,378,0
2020-06-19,361,0
2020-06-20,203,1
2020-06-21,172,1
2020-06-22,402,0
2020-06-23,381,0
2020-06-24,381,0
2020-06-25,298,0
2020-06-26,317,0
2020-06-27,206,1
2020-06-28,201,1
2020-06-29,437,0
2020-06-30,441,0
2020-07-01,395,0
2020-07-02,416,0
2020-07-03,234,0
2020-07-04,120,1
2020-07-05,155,1
2020-07-06,431,0
2020-07-07,461,0
2020-07-08,437,0
2020-07-09,391,0
2020-07-10,306,0
2020-07-11,259,1
2020-07-12,223,1
2020-07-13,483,0
2020-07-14,402,0
2020-07-15,440,0
2020-07-16,411,0
2020-07-17,413,0
2020-07-18,216,1
2020-07-19,176,1
2020-07-20,401,0
2020-07-21,340,0
2020-07-22,329,0
2020-07-23,308,0
2020-07-24,298,0
2020-07-25,153,1
2020-07-26,140,1
2020-07-27,312,0
2020-07-28,313,0
2020-07-29,287,0
2020-07-30,274,0
2020-07-31,262,0
2020-08-01,189,1
2020-08-02,135,1
2020-08-03,348,0
2020-08-04,187,0
2020-08-05,298,0
2020-08-06,288,0
2020-08-07,255,0
2020-08-08,160,1
2020-08-09,133,1
2020-08-10,312,0
2020-08-11,263,0
2020-08-12,320,0
2020-08-13,276,0
2020-08-14,277,0
2020-08-15,151,1
2020-08-16,140,1
2020-08-17,333,0
2020-08-18,283,0
2020-08-19,257,0
2020-08-20,227,0
2020-08-21,252,0
2020-08-22,136,1
2020-08-23,150,1
2020-08-24,297,0
2020-08-25,283,0
2020-08-26,313,0
2020-08-27,274,0
2020-08-28,280,0
2020-08-29,128,1
2020-08-30,186,1
2020-08-31,315,0
2020-09-01,294,0
2020-09-02,271,0
2020-09-03,273,0
2020-09-04,230,0
2020-09-05,156,1
2020-09-06,207,1
2020-09-07,217,0
2020-09-08,393,0
2020-09-09,353,0
2020-09-10,323,0
2020-09-11,313,0
2020-09-12,202,1
2020-09-13,263,1
2020-09-14,461,0
2020-09-15,415,0
2020-09-16,456,0
2020-09-17,441,0
2020-09-18,292,0
2020-09-19,216,1
2020-09-20,220,1
2020-09-21,558,0
2020-09-22,497,0
2020-09-23,612,0
2020-09-24,542,0
2020-09-25,463,0
2020-09-26,280,1
2020-09-27,382,1
2020-09-28,437,0
2020-09-29,723,0
2020-09-30,605,0
2020-10-01,705,0
2020-10-02,605,0
2020-10-03,299,1
2020-10-04,335,1
2020-10-05,766,0
2020-10-06,571,0
2020-10-07,542,0
2020-10-08,525,0
2020-10-09,524,0
2020-10-10,314,1
2020-10-11,281,1
2020-10-12,515,0
2020-10-13,588,0
2020-10-14,583,0
2020-10-15,604,0
2020-10-16,503,0
2020-10-17,366,1
2020-10-18,412,1
2020-10-19,626,0
2020-10-20,601,0
2020-10-21,654,0
2020-10-22,759,0
2020-10-23,601,0
2020-10-24,386,1
2020-10-25,362,1
2020-10-26,695,0
2020-10-27,742,0
2020-10-28,783,0
2020-10-29,621,0
2020-10-30,654,0
2020-10-31,403,1
2020-11-01,501,1
2020-11-02,953,0
2020-11-03,903,0
2020-11-04,1113,0
2020-11-05,1139,0
2020-11-06,1037,0
2020-11-07,845,1
2020-11-08,788,1
2020-11-09,1545,0
2020-11-10,1599,0
2020-11-11,1540,0
2020-11-12,1501,0
2020-11-13,1494,0
2020-11-14,1026,1
2020-11-15,896,1
2020-11-16,1832,0
2020-11-17,1730,0
2020-11-18,1753,0
2020-11-19,1857,0
2020-11-20,1773,0
2020-11-21,1290,1
2020-11-22,1148,1
2020-11-23,2317,0
2020-11-24,2074,0
2020-11-25,2370,0
2020-11-26,817,0
2020-11-27,2298,0
2020-11-28,1839,1
2020-11-29,1891,1
2020-11-30,2895,0
2020-12-01,3308,0
2020-12-02,3129,0
2020-12-03,2945,0
2020-12-04,2816,0
2020-12-05,1887,1
2020-12-06,1755,1
2020-12-07,3304,0
2020-12-08,3059,0
2020-12-09,3106,0
2020-12-10,3149,0
2020-12-11,2980,0
2020-12-12,2206,1
2020-12-13,2176,1
2020-12-14,3580,0
2020-12-15,3681,0
2020-12-16,2787,0
2020-12-17,1926,0
2020-12-18,3427,0
2020-12-19,2557,1
2020-12-20,2346,1
2020-12-21,4338,0
2020-12-22,4102,0
2020-12-23,3844,0
2020-12-24,3015,0
2020-12-25,1046,0
2020-12-26,3454,1
2020-12-27,2888,1
2020-12-28,5392,0
2020-12-29,5206,0
2020-12-30,4985,0
