date,new_confirmed,fds
2020-02-25,1,0
2020-02-26,0,0
2020-02-27,0,0
2020-02-28,1,0
2020-02-29,0,1
2020-03-01,0,1
2020-03-02,0,0
2020-03-03,0,0
2020-03-04,1,0
2020-03-05,3,0
2020-03-06,0,0
2020-03-07,6,1
2020-03-08,3,1
2020-03-09,0,0
2020-03-10,3,0
2020-03-11,11,0
2020-03-12,15,0
2020-03-13,0,0
2020-03-14,18,1
2020-03-15,0,1
2020-03-16,83,0
2020-03-17,11,0
2020-03-18,58,0
2020-03-19,45,0
2020-03-20,47,0
2020-03-21,0,1
2020-03-22,0,1
2020-03-23,0,0
2020-03-24,0,0
2020-03-25,416,0
2020-03-26,177,0
2020-03-27,145,0
2020-03-28,0,1
2020-03-29,0,1
2020-03-30,189,0
2020-03-31,652,0
2020-04-01,533,0
2020-04-02,397,0
2020-04-03,387,0
2020-04-04,294,1
2020-04-05,116,1
2020-04-06,142,0
2020-04-07,504,0
2020-04-08,689,0
2020-04-09,530,0
2020-04-10,505,0
2020-04-11,149,1
2020-04-12,221,1
2020-04-13,66,0
2020-04-14,287,0
2020-04-15,1059,0
2020-04-16,144,0
2020-04-17,836,0
2020-04-18,684,1
2020-04-19,240,1
2020-04-20,147,0
2020-04-21,527,0
2020-04-22,349,0
2020-04-23,534,0
2020-04-24,575,0
2020-04-25,1298,1
2020-04-26,415,1
2020-04-27,476,0
2020-04-28,1408,0
2020-04-29,1241,0
2020-04-30,1511,0
2020-05-01,938,0
2020-05-02,407,1
2020-05-03,328,1
2020-05-04,251,0
2020-05-05,1067,0
2020-05-06,2047,0
2020-05-07,1086,0
2020-05-08,1094,0
2020-05-09,1420,1
2020-05-10,520,1
2020-05-11,464,0
2020-05-12,911,0
2020-05-13,1720,0
2020-05-14,1471,0
2020-05-15,2119,0
2020-05-16,1437,1
2020-05-17,502,1
2020-05-18,257,0
2020-05-19,1452,0
2020-05-20,1826,0
2020-05-21,1985,0
2020-05-22,1522,0
2020-05-23,1914,1
2020-05-24,640,1
2020-05-25,677,0
2020-05-26,1350,0
2020-05-27,1710,0
2020-05-28,3455,0
2020-05-29,3022,0
2020-05-30,2878,1
2020-05-31,1512,1
2020-06-01,995,0
2020-06-02,3317,0
