datahora,casos_novos
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,1
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,1
2020-03-05,3
2020-03-06,0
2020-03-07,6
2020-03-08,3
2020-03-09,0
2020-03-10,3
2020-03-11,11
2020-03-12,15
2020-03-13,0
2020-03-14,18
2020-03-15,0
2020-03-16,83
2020-03-17,11
2020-03-18,58
2020-03-19,45
2020-03-20,47
2020-03-21,0
2020-03-22,0
2020-03-23,0
2020-03-24,0
2020-03-25,416
2020-03-26,177
2020-03-27,145
2020-03-28,0
2020-03-29,0
2020-03-30,189
2020-03-31,652
2020-04-01,533
2020-04-02,397
2020-04-03,387
2020-04-04,294
2020-04-05,116
2020-04-06,142
2020-04-07,504
2020-04-08,689
2020-04-09,530
2020-04-10,505
2020-04-11,149
2020-04-12,221
2020-04-13,66
2020-04-14,287
2020-04-15,1059
2020-04-16,144
2020-04-17,836
2020-04-18,684
2020-04-19,240
2020-04-20,147
2020-04-21,527
2020-04-22,349
2020-04-23,534
2020-04-24,575
2020-04-25,1298
2020-04-26,415
2020-04-27,476
2020-04-28,1408
2020-04-29,1241
2020-04-30,1511
2020-05-01,938
2020-05-02,407
2020-05-03,328
2020-05-04,251
2020-05-05,1067
2020-05-06,2047
2020-05-07,1086
2020-05-08,1094
2020-05-09,1420
2020-05-10,520
2020-05-11,464
2020-05-12,911
2020-05-13,1720
2020-05-14,1471
2020-05-15,2119
2020-05-16,1437
2020-05-17,502
2020-05-18,257
2020-05-19,1452
2020-05-20,1826
2020-05-21,1985
2020-05-22,1522
2020-05-23,1914
2020-05-24,640
2020-05-25,677
2020-05-26,1350
2020-05-27,1710
2020-05-28,3455
2020-05-29,3022
2020-05-30,2878
2020-05-31,1512
2020-06-01,995
2020-06-02,3317
2020-06-03,2334
2020-06-04,2570
2020-06-05,2106
2020-06-06,2408
2020-06-07,935
2020-06-08,903
2020-06-09,2327
2020-06-10,2431
2020-06-11,2619
2020-06-12,2546
2020-06-13,2403
2020-06-14,3173
2020-06-15,2250
2020-06-16,4228
2020-06-17,456
2020-06-18,398
2020-06-19,6877
2020-06-20,184
2020-06-21,949
2020-06-22,1191
2020-06-23,2483
2020-06-24,3047
2020-06-25,4050
2020-06-26,3852
2020-06-27,1596
2020-06-28,1346
2020-06-29,907
